Horodateur,Vous avez assisté à...,Le contenu est riche et intéressant.,Les objectifs du cours ont été bien définis,Je comprends bien l’importance du cours pour ma formation.,Les indications pour étudier la matière et pour préparer l’examen sont claires et suffisantes.,"Toutes les informations sur le cours (fonctionnement, évaluation, contact...) sont disponibles",Les supports de cours fournis sont suffisants et adéquats.,Le professeur présente la matière de façon claire et structurée.,"Le cours est bien équilibré entre éléments de théorie, exemples et applications.",Le rythme du cours est soutenu tout en permettant de suivre et de comprendre.,Le professeur a une bonne expression orale (volume et débit de la voix...).,Le cadre de l’enseignement vous permet d’intervenir librement / de vous sentir libre d’intervenir,Les exercices sont bien adaptés en nombre et degré de difficulté.,Les directives pour faire les exercices sont claires et adéquates.,"Les exigences, le temps nécessaire et l'organisation sont bien appropriés.","Je peux bien utiliser mes connaissances et mes capacités personnelles (responsabilité, esprit d'initiative, autonomie, réflexion).",Le nombre d'heures de travail hebdomadaire moyen que j’ai fourni pour ce cours en plus des heures du programme d'études (et du temps consacré aux TP) pour répondre aux attentes de l’enseignant est de :,La charge de travail en dehors du cours vous semble...,Vous avez l'impression que votre compréhension et maîtrise du cours est...,"Dans l’ensemble, vous estimez que cet enseignement est:",Points forts :,Points faibles :,Propositions d'amélioration :
31/10/2018 18:22:58,"La séance 1 (17/10), La séance 2 (31/10)",3,3,2,4,4,4,4,3,3,3,3,3,3,3,3,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,Utile ,Technique ,Passer plus de temps pour les activités plus technique 
31/10/2018 18:27:36,"La séance 1 (17/10), La séance 2 (31/10)",4,4,4,3,4,4,3,4,2,4,4,4,4,4,4,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,Interactivité ,"Très très dense pendant 4h, difficile de suivre durant tout le cours. ",Cours<4h sinon on décroche alors que c’est ultra intéressant. 
31/10/2018 19:44:10,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,4,4,3,2,3,2,2,4,3,2,2,3,environ 30 min.,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,"Dynamique, forte Intéraction avec les élèves, répond aux questions, mode d'évaluation originale et intéressante","- 2e séance un peu trop rapide, difficile à suivre pour ceux qui ne tapent pas assez vite au clavier
- difficulté à lire ce qui est projeté car police trop petite","- aller un peu moins vite sur les notions nouvelles
- zoomer la page script ou taper le code dans une police plus grande"
31/10/2018 19:57:36,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,4,4,3,2,4,2,4,4,2,3,3,3,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,Professeur très à l’ecoute.,Je n’arrive pas toujours à suivre,Plus d’explications
31/10/2018 22:25:02,"La séance 1 (17/10), La séance 2 (31/10)",3,3,4,4,4,2,2,3,3,2,4,2,2,2,3,0,Trop faible,Très bonne (je suis très à l'aise),Bon,"Le point fort majeur pour moi est la volonté du professeur de transmettre une connaissance globale de R plutôt que d'apprendre uniquement des exemples. 
L'emphase mise sur la capacité à retrouver soi-même des informations est honorable et donner une autonomie aux étudiants leur sera beaucoup plus bénéfique que tout autre méthode d'apprentissage","Le professeur a survolé des notions fondamentales au début et a dû même par la suite y revenir. (notamment celle d'objet, et de fonction )
Personnellement je trouve que le cours n'était pas assez structuré et j'ai pu suivre uniquement parce que j'ai déjà de l'expérience dans un autre langage de programmation; je doute que les néophytes complets en programmation n'ont pas eu quelques difficultés. Alors qu'il fallait se préparer à l'éventualité de présenter aux autres le contenu du cours précédent, j'ai dû ré-expliquer au personnes de mon groupe la notion d'argument d'une fonction (je prétend pas que j'ai donné une meilleur explication ou que ça ne peut être attribué à leur mémoire qui fait défaut) et ceux qui sont passés au tableau ont fait d'importantes erreurs.
En plus de ne pas avoir aborder des notions fondamentales, le professeur s'est attardé sur des notions beaucoup trop vastes et moins importantes et n'a pas pris (probablement parce que n'a pas eu) le temps de développer ces notions. Je suis pas contre le fait d'aborder ces notions mais cela doit être bien fait en y consacrant suffisamment de temps.

La volonté de ne pas assigner des tâches à faire entre les cours est certes louable, mais elle ne favorise pas la maîtrise d'un nouveau langage de programmation et peut-être détrimentale à la progression des étudiants car pour se doter de réflexes et d'habitudes, il faut beaucoup expérimenter et avoir une certaines familiarité avec des fonctions usuelles

Le prosélytisme en faveur du snake_case est irrationnel et superflu , il s'agit de préférences personnelles et le camelCase et le PascalCase sont tout aussi valables d'autant plus que l'argument de la confusion du nom des variables ne tient pas puisque RStudio et tous les IDE modernes proposent une complétion automatique. Personnellement je pense qu'il faut avoir une règle pour la casse des objets et une autre pour la casse des fonctions. Cette insistance sur ce sujet est d'autant plus absurde que le nommage des variables donnée en exemple dans le cours est pas irréprochable (toto, titi), même myNumeric1 serait un meilleur nom de variable et pourtant ce ne serait pas suffisant dans un réel contexte.


J'en ai beaucoup dit mais c'est uniquement par préoccupation pour les autres. Pour moi, hormis le prosélytisme en faveur du snake_case, je n'ai rien à reprocher à ce professeur","Je reconnais malheureusement que les problèmes soulevés ici sont dû au manque de temps et que le professeur fait déjà le maximum.
Par ailleurs, j'ai trouvé l'introduction à ggplot2 beaucoup plus fluide et claire que l'introduction à R"
31/10/2018 23:31:12,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,3,3,2,2,2,2,3,3,2,2,2,3,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,Langage informatique,"Beaucoup d'informations en un seul cours de 4h, c'est parfois difficile à bien suivre et tout saisir.","Des exercices plus ciblées sur des notions de langage info R, peut être même a essayer à la maison."
01/11/2018 00:52:45,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,3,3,2,3,4,3,4,4,3,3,3,4,environ 1 heure,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,"Bonne alternance entre théorie et exercices pratiques, enseignement interactif",Peu de supports donc nécessité de bien comprendre en classe,Peut-être fournir plus de récapitulatifs des cours avec les fonctions vues
01/11/2018 02:00:04,"La séance 1 (17/10), La séance 2 (31/10)",4,3,4,3,3,3,3,3,3,3,4,3,3,2,4,environ 1 heure,Forte mais essentielle,Bonne (je suis à l'aise la majeure partie du temps),Bon,Explique bien le cours en détail,"Va un peu trop vite, on peut perdre vite le fil",s'adapter au rythme des élèves selon leur difficulté de compréhension
01/11/2018 11:57:43,"La séance 1 (17/10), La séance 2 (31/10)",4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,environ 1 heure,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Excellent,"Passionné , et a envie de transmettre ça passion , laisse de l'autonomie ",Peut être un peu rapide sur la réalisation des codes ainsi que sur les points de cours ,"Peut être mettre le code toujours dispo sur une partie de l'écran avant de switcher avec Chrome , de façon qu'on ai bien le temps de l'analyse "
01/11/2018 12:00:58,"La séance 1 (17/10), La séance 2 (31/10)",2,1,2,4,1,1,2,4,2,3,3,3,1,2,2,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,Activités ,Rapidité ,Moins vite plus d´explications 
01/11/2018 12:27:07,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,3,4,3,4,4,4,4,4,4,3,3,4,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,"ineractif, système de point motive ",long jusqu'a 18h ,plus d'explication des programmes a l'oral et de chaque raisonnement 
01/11/2018 15:41:04,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,4,3,4,4,4,3,4,3,3,3,3,3,environ 30 min.,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,"On voit de nouvelles choses, c'est intéressant.",Parfois un peu difficile de coder quand on en a jamais fait.,/
01/11/2018 17:38:43,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,2,4,2,3,3,3,4,4,3,2,3,3,environ 30 min.,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,.,.,.
01/11/2018 18:06:32,"La séance 1 (17/10), La séance 2 (31/10)",4,4,3,3,3,2,3,3,3,3,2,2,2,3,4,0,Forte mais essentielle,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,beaucoup de connaissances apportées,s'entraîner une fois par semaine me semble insuffisant ,donner quelques exercices facultatifs mais qui permettraient d'orienter les révisions pour les étudiants peu familiarisés avec le codage
02/11/2018 00:29:00,"La séance 1 (17/10), La séance 2 (31/10)",2,4,3,3,3,2,3,3,2,2,3,3,3,3,3,0,Appropriée,Mauvaise (je suis ne pas à l'aise la majeure partie du temps),Bon,L'aspect pratique du cours (dans l'apprentissage),Beaucoup de compétences compliquées où il faut être à l'aise,Mieux expliquer le sens des termes qu'on utilise dans le logiciel pour ainsi mieux comprendre la logique
02/11/2018 17:36:25,"La séance 1 (17/10), La séance 2 (31/10)",3,3,4,4,4,3,2,2,3,3,3,3,3,3,4,environ 30 min.,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Les exercices sont variés et permettent de tester par soi-même.,Certains points vont très vite et l'enseignant tape le code au tableau mais on n'a pas forcément le temps de tester nous-mêmes.,Laisser quelques secondes de plus pour pouvoir faire le code nous-mêmes sur l'ordinateur plutôt que de tout enchaîner parfois très vite
02/11/2018 18:24:35,La séance 1 (17/10),3,3,4,2,2,2,3,3,4,3,4,3,3,4,3,environ 1 heure,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Bon,.,.,Support de cours préalable
03/11/2018 00:51:09,La séance 1 (17/10),4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,0,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Connaissances apportés ,Rythme irrégulier ,Adaptation du rythme en fonction de chancun 
05/11/2018 12:47:24,"La séance 1 (17/10), La séance 2 (31/10)",3,2,4,1,2,2,4,2,2,4,4,2,1,3,3,environ 30 min.,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,très clair lors du premier cours,Trop peu clair et trop peu d'aide lors du second cours. Je ne comprenais pas tout ,Apporter plus d'aide lors des exercices 
07/11/2018 12:04:27,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,environ 1 heure,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,applications pratiques ,notions vagues,encore plus d'applications pratiques 
07/11/2018 12:40:50,"La séance 1 (17/10), La séance 2 (31/10)",3,4,3,4,3,4,3,3,3,4,4,3,2,3,3,0,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Totalement nouveau pour moi,Assez difficile lorsqu’on ne connait rien à la programmation,Je sais pas
08/11/2018 21:30:08,"La séance 1 (17/10), La séance 2 (31/10)",3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,environ 30 min.,Appropriée,Bonne (je suis à l'aise la majeure partie du temps),Bon,Encouragements d'entraide,"Cette entraide ne se produit surtout qu'au sein de chaque équipe, et non entre les différentes équipes",Plus encourager les groupes à s'entraider
09/11/2018 11:30:34,"La séance 1 (17/10), La séance 2 (31/10)",4,3,3,3,3,2,3,4,3,4,4,4,4,4,3,0,Appropriée,Moyenne (je ne suis pas à l'aise pour la moitié du cours),Suffisant,L'apprentissage est plutôt ludique,"Je trouve que 3h (4H)  de cours est trop long pour avoir une concentration optimale sur un sujet nouveau, avec beaucoup d'informations à retenir",Pas d'idée mais les petits résumés des cours précédents sont utiles 